name,stars,review,type,lng,lat
Cafe Littera,4.5,265,"$$ - $$$, Fusion, Georgian, Vegetarian Friendly",41.690159,44.799458
Cafe-Restaurant Saamo,4.5,213,"$$ - $$$, Bar, European, Eastern European",41.695496,44.816284
Bina N37,4.5,208,"$$ - $$$, Georgian, Eastern European, Vegetarian Friendly",41.733349,44.767258
Kiwi Vegan Cafe,4.5,201,"$, International, Healthy, Middle Eastern",41.691788,44.799999
Culinarium Khasheria,4.5,187,"$$ - $$$, Soups, Eastern European, Georgian",41.688103,44.810608
Azarphesha,4.5,185,"$$ - $$$, European, Wine Bar, Eastern European",41.692551,44.798306
Cheburechnaya N1,4.5,180,"$, Cafe, Vegan Options, Vegetarian Friendly",41.727051,44.768398
Megruli Sakhli,4.5,179,"$$ - $$$, European, Eastern European, Vegetarian Friendly",41.700863,44.801907
Bread&Wine,4.5,176,"$, Georgian, Vegetarian Friendly",41.704441,44.790199
Melograno,4.5,171,"$, Italian, Central European, Georgian",41.697098,44.797409
Canudos Ethnic Bar,4.5,154,"$, Bar, Pub",41.704834,44.791412
The Kitchen Restaurant,4.5,147,"$$ - $$$, European, Vegetarian Friendly, Gluten Free Options",41.705528,44.787163
Nikolozi,4.5,146,"$, Georgian, Vegetarian Friendly",41.693405,44.805901
Old Generation,4.5,143,"$, Cafe, Wine Bar",41.691891,44.812241
SOSA Artisanal Cafe & Bakery,4.5,140,"$, European, Caucasian, Georgian",41.703129,44.805279
Mravaljamieri,4.5,140,"$$ - $$$, Eastern European, Vegetarian Friendly, Vegan Options",41.737087,44.773167
Taverna Guliani,4.5,138,"$, Eastern European, Georgian, Vegetarian Friendly",41.691853,44.807831
Ronny's Pizza,4.5,132,"$$ - $$$, American, Pizza, Fast Food",41.708984,44.764519
Hurma Cafe,4.5,128,"$, European, Vegetarian Friendly, Vegan Options",41.708332,44.782200
Qalaqi,4.5,127,"$$$$, European, Georgian, Vegetarian Friendly",41.709141,44.785431
Beirut Pasha Restaurant Halal,4.5,127,"$, Lebanese, Arabic, Vegetarian Friendly",41.702538,44.798954
9 Mta,4.5,120,"$$ - $$$, American, International, European",41.691704,44.801441
Orangery Restaurant,4.5,120,"$, European, Georgian, Eastern European",41.711483,44.753468
Black Dog Bar,4.5,113,"$, American, Bar, Pub",41.689651,44.798248
Pasanauri Restaurant,4.5,111,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.692413,44.798981
Shatre,4.5,110,"$, Bar, Eastern European, Vegetarian Friendly",41.701942,44.794212
hummusbar,4.5,106,"$$ - $$$, Mediterranean, Middle Eastern, Vegetarian Friendly",41.704639,44.790546
Georgian Craft Wine Delivery,4.5,104,"$$ - $$$, Wine Bar",41.692062,44.806690
Zala Restaurant,4.5,103,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.704113,44.785545
Strada on Sandro Euli Street,4.5,100,"$$ - $$$, Cafe, European, Vegetarian Friendly",41.724155,44.716629
Sioni 13,4.5,97,"$$ - $$$, Georgian, Wine Bar, Caucasian",41.690914,44.807411
Cafe Verde,4.5,87,"$$ - $$$, European, Steakhouse, Pizza",41.733189,44.741890
Tavaduri,4.5,86,"$$ - $$$, European, Barbecue, Eastern European",41.721996,44.784706
Veriko,4.5,82,"$$ - $$$, Georgian, Wine Bar, Vegetarian Friendly",41.708309,44.780457
Tiffany Bar and Terrace Tbilisi,4.5,82,"$$ - $$$, Italian, French, International",41.701855,44.799873
Kolkheti,4.5,81,"$$ - $$$, Barbecue, Eastern European, Vegetarian Friendly",41.679066,44.765526
Golden Mug,4.5,81,"$$ - $$$, Bar, Vegetarian Friendly, Vegan Options",41.767147,44.780590
Mepetubani,4.5,80,"$$ - $$$, Bar, Vegetarian Friendly, Vegan Options",41.693672,44.807228
Retro,4.5,76,"$, Cafe, Vegetarian Friendly, Vegan Options",41.721218,44.770424
Cafe le toit,4.5,76,"$$ - $$$, Cafe, International, European",41.693062,44.805248
Easy Wine,4.5,73,"$, Georgian, Wine Bar, Vegetarian Friendly",41.691029,44.808365
Le Cabernet,4.5,72,"$$ - $$$, French, Central European, European",41.691998,44.800003
Nayeb Halal Restaurant,4.5,72,"$, Fast Food, Middle Eastern, Persian",41.692017,44.802132
Sushiroom,4.5,72,"$$ - $$$, Japanese, Seafood, Sushi",41.707191,44.772156
PIPES burger joint,4.5,70,"$$ - $$$, American, Vegetarian Friendly",41.706146,44.789242
Big Daddy's Fish and Chips,4.5,68,"$, American, Seafood, International",41.704929,44.801289
Ovsyanka,4.5,67,"$, American, Bar, European",41.704720,44.785942
Cafe Volver,4.5,65,"$$ - $$$, European, Wine Bar, Vegetarian Friendly",41.689430,44.797215
Tibilisi Sultan Restaurant,4.5,64,"$$ - $$$, Grill, Turkish, Halal",41.713978,44.793056
Bohema,4.5,63,"$$ - $$$, Eastern European, Central European, European",41.687653,44.811146
Varazi Beer House,4.5,62,"$$ - $$$, Italian, French, German",41.711861,44.781044
Dadiani,4.5,60,"$$ - $$$, Caucasian, Contemporary, Georgian",41.720646,44.768303
Mama Terra - Veggie Corner,4.5,58,"$$ - $$$, Mexican, Georgian, Healthy",41.695263,44.795910
Poliphonia,4.5,58,"$$ - $$$, Wine Bar, Georgian, Vegetarian Friendly",41.689766,44.793358
Art-Cafe Home,4.5,57,"$$ - $$$, Bar, European, Vegetarian Friendly",41.689312,44.806435
Ketsi,4.5,54,"$, Georgian, Eastern European",41.691113,44.797451
Alchemy,4.5,54,"$$ - $$$, American, Brew Pub, Pub",41.704487,44.801670
Kharcho,4.5,54,"$$ - $$$, Fusion, Georgian, Eastern European",41.697208,44.800137
Ethno Restaurant Kalanda,4.5,53,"$$ - $$$, European, Israeli, Georgian",41.747478,44.773113
Drunk Owl Bar,4.5,51,"$$ - $$$, Pub, Bar, European",41.688908,44.809994
Vania Cafe & Restaurant,4.5,50,"$, Cafe, Georgian, Wine Bar",41.697521,44.794769
